"Lloyds Bank - Print Friendly Statement","","",""
"02 Apr 24","YOURPARKINGSPACE L","FPI","30.00"
"28 Mar 24","YOURPARKINGSPACE L","FPI","131.61"
"28 Mar 24","YOURPARKINGSPACE L","FPI","136.00"
"28 Mar 24","YOURPARKINGSPACE L","FPI","132.00"
"28 Mar 24","YOURPARKINGSPACE L","FPI","132.00"
"25 Mar 24","SPORTPURSUIT.COM","DEB","104.48"
"14 Mar 24","S BEGANOVIC","TFR","4.90"
"14 Mar 24","S BEGANOVIC","TFR","165.00"
"13 Mar 24","TK MAXX","DEB","20.00"
"05 Mar 24","JUSTPARK WITHDRAWA","BGC","171.75"
"01 Mar 24","INTEREST (GROSS)","","7.09"
"01 Mar 24","YOURPARKINGSPACE L","FPI","129.40"
"29 Feb 24","YOURPARKINGSPACE L","FPI","136.00"
"29 Feb 24","YOURPARKINGSPACE L","FPI","46.90"
"29 Feb 24","YOURPARKINGSPACE L","FPI","132.00"
"29 Feb 24","YOURPARKINGSPACE L","FPI","132.00"
"26 Feb 24","TK MAXX","DEB","24.00"
"14 Feb 24","SAINSBURYS","DEB","6.00"
"14 Feb 24","S BEGANOVIC","TFR","4.90"
"14 Feb 24","S BEGANOVIC","TFR","165.00"
"07 Feb 24","JUSTPARK WITHDRAWA","BGC","99.79"
"06 Feb 24","JUSTPARK WITHDRAWA","BGC","121.14"
"01 Feb 24","INTEREST (GROSS)","","7.33"
"01 Feb 24","YOURPARKINGSPACE L","FPI","132.00"
"01 Feb 24","YOURPARKINGSPACE L","FPI","132.00"
"01 Feb 24","YOURPARKINGSPACE L","FPI","13.16"
"01 Feb 24","YOURPARKINGSPACE L","FPI","91.00"
"15 Jan 24","S BEGANOVIC","TFR","165.00"
"12 Jan 24","JUSTPARK WITHDRAWA","BGC","136.21"
"10 Jan 24","JUSTPARK WITHDRAWA","BGC","136.22"
"03 Jan 24","CLUB LLOYDS WAIVED","DEP","3.00"
"02 Jan 24","INTEREST (GROSS)","","7.82"
