"Lloyds Bank - Print Friendly Statement","","",""
"28 Jul 25","BRITISH HEART FOUN","DEB","3.25"
"25 Jul 25","JUSTPARK PARKING L","BGC","102.43"
"23 Jul 25","LOYD 99 HIGH STREE","CSH","320.00"
"23 Jul 25","JUSTPARK PARKING L","BGC","502.99"
"18 Jul 25","JUSTPARK PARKING L","BGC","217.28"
"16 Jul 25","S BEGANOVIC","TFR","4.90"
"16 Jul 25","S BEGANOVIC","TFR","130.35"
"16 Jul 25","S BEGANOVIC","TFR","165.00"
"14 Jul 25","LOYD 99 HIGH STREE","CSH","100.00"
"14 Jul 25","JUSTPARK PARKING L","BGC","494.31"
"14 Jul 25","TK MAXX","DEB","29.99"
"07 Jul 25","TK MAXX","DEB","14.99"
"03 Jul 25","JUSTPARK PARKING L","BGC","48.50"
"02 Jul 25","CLUB LLOYDS WAIVED","DEP","5.00"
"02 Jul 25","JUSTPARK PARKING L","BGC","139.68"
"01 Jul 25","INTEREST (GROSS)","","7.08"
"01 Jul 25","YOURPARKINGSPACE L","FPI","257.05"
"30 Jun 25","JUSTPARK PARKING L","BGC","87.30"
"26 Jun 25","JUSTPARK PARKING L","BGC","170.33"
"24 Jun 25","JUSTPARK PARKING L","BGC","157.14"
"20 Jun 25","JUSTPARK PARKING L","BGC","201.76"
"13 Jun 25","S BEGANOVIC","TFR","4.90"
"13 Jun 25","S BEGANOVIC","TFR","127.80"
"13 Jun 25","S BEGANOVIC","TFR","165.00"
"11 Jun 25","JUSTPARK PARKING L","BGC","403.13"
"03 Jun 25","CLUB LLOYDS WAIVED","DEP","3.00"
"03 Jun 25","JUSTPARK PARKING L","BGC","38.80"
"02 Jun 25","INTEREST (GROSS)","","7.82"
"02 Jun 25","YOURPARKINGSPACE L","FPI","424.28"
"02 Jun 25","JUSTPARK PARKING L","BGC","48.50"
"02 Jun 25","TK MAXX","DEB","11.00"
"30 May 25","SENSE HUNTINGDON","DEB","5.00"
